order_id,customer_name,customer_address,order_date,status,item_name,quantity,total_amount
OR2024-031227,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-02,Preparing,HP 684 Tri-Color Ink,2,240.00
OR2024-031229,Maria Santos,"45 Mabini Ave., Makati City",2024-09-16,Received,Desk Pen Holder,3,320.00
OR2024-031229,Maria Santos,"45 Mabini Ave., Makati City",2024-09-16,Received,Glue Stick Large 40g,2,320.00
OR2024-031232,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-04,Received,Staples 1000pcs,2,1000.00
OR2024-031232,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-04,Received,Glass Cleaner Spray,2,1000.00
OR2024-031232,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-04,Received,VGA to HDMI Adapter,3,1000.00
OR2024-031233,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-08-11,Received,Binder Clips 24pcs,2,810.00
OR2024-031233,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-08-11,Received,VGA to HDMI Adapter,3,810.00
OR2024-031233,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-08-11,Received,File Folder A4 50pcs,2,810.00
OR2024-031234,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-03-15,Preparing,Alcohol 70% 1 Liter,2,580.00
OR2024-031234,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-03-15,Preparing,Ballpoint Pen Blue 10pcs,3,580.00
OR2024-031235,Maria Santos,"45 Mabini Ave., Makati City",2024-08-09,Cancelled,Stapler Standard,3,300.00
OR2024-031239,Daniel Cruz,"3 Session Rd., Baguio City",2024-03-23,Received,Glass Cleaner Spray,3,870.00
OR2024-031239,Daniel Cruz,"3 Session Rd., Baguio City",2024-03-23,Received,Construction Paper Assorted,2,870.00
OR2024-031239,Daniel Cruz,"3 Session Rd., Baguio City",2024-03-23,Received,Power Bank 10000mAh,1,870.00
OR2024-031240,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-26,To Ship,Power Bank 10000mAh,2,1260.00
OR2024-031240,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-26,To Ship,Desk Organizer Tray,1,1260.00
OR2024-031240,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-26,To Ship,Desk Organizer Tray,2,1260.00
OR2024-031241,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-01-13,Received,VGA to HDMI Adapter,3,750.00
OR2024-031243,Ana Villanueva,"12 Burgos St., Cebu City",2024-06-28,Preparing,Whiteboard Sheet Roll,3,4200.00
OR2024-031243,Ana Villanueva,"12 Burgos St., Cebu City",2024-06-28,Preparing,Desktop Organizer Wood,3,4200.00
OR2024-031243,Ana Villanueva,"12 Burgos St., Cebu City",2024-06-28,Preparing,Printer Paper A3 500 sheets,3,4200.00
OR2024-031246,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-12-12,Received,First Aid Kit Box,2,1895.00
OR2024-031246,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-12-12,Received,File Pocket PVC A4,3,1895.00
OR2024-031246,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-12-12,Received,Glass Cleaner Spray,1,1895.00
OR2024-031246,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-12-12,Received,Glue Stick 20g,2,1895.00
OR2024-031257,Maria Santos,"45 Mabini Ave., Makati City",2024-02-24,Received,Trash Bag Black Large,2,328.00
OR2024-031257,Maria Santos,"45 Mabini Ave., Makati City",2024-02-24,Received,Sticky Flags 25mm,1,328.00
OR2024-031257,Maria Santos,"45 Mabini Ave., Makati City",2024-02-24,Received,Trash Bag Black Large,2,328.00
OR2024-031257,Maria Santos,"45 Mabini Ave., Makati City",2024-02-24,Received,Index Divider Tabs 5pcs,3,328.00
OR2024-031258,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-01,Received,Construction Paper Assorted,2,900.00
OR2024-031258,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-01,Received,HP 680 Black Ink Cartridge,3,900.00
OR2024-031258,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-01,Received,Power Bank 10000mAh,1,900.00
OR2024-031262,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-01-31,Received,Office Chair Mid-Back,3,7701.00
OR2024-031262,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-01-31,Received,File Folder A4 50pcs,2,7701.00
OR2024-031262,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-01-31,Received,Construction Paper Assorted,2,7701.00
OR2024-031262,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-01-31,Received,Sticky Notes 75x75mm,3,7701.00
OR2024-031264,Sophia Navarro,"14 Lacson St., Bacolod City",2024-08-31,Received,File Folder A4 50pcs,1,918.00
