sales_id,customer_name,sales_date,total_amount,status,payment_method
SR2026-019022,Sophia Navarro,2026-03-15,90.00,Paid,Cash
SR2026-019023,Pedro Reyes,2026-03-15,615.00,Paid,Cash
SR2026-019025,Pedro Reyes,2026-03-15,20.00,Paid,Cash
SR2026-019026,Isabella Ramos,2026-03-15,1925.00,Paid,Cash
SR2026-019027,Maria Santos,2026-03-15,100.00,Paid,Cash
SR2026-019029,Carlos Mendoza,2026-03-15,380.00,Paid,Cash
SR2026-019030,Ana Villanueva,2026-03-15,1130.00,Paid,Cash
SR2026-019031,Pedro Reyes,2026-03-15,1475.00,Paid,Cash
SR2026-019033,Mark Tolentino,2026-03-15,400.00,Paid,Cash
SR2026-019034,Maria Santos,2026-03-15,2640.00,Paid,Cash
SR2026-019035,Mark Tolentino,2026-03-15,785.00,Paid,Cash
SR2026-019037,Liza Fernandez,2026-03-15,1140.00,Paid,Cash
SR2026-019038,Pedro Reyes,2026-03-15,590.00,Paid,Cash
SR2026-019039,Sophia Navarro,2026-03-15,1155.00,Paid,Cash
SR2026-019041,Daniel Cruz,2026-03-15,1410.00,Paid,Cash
SR2026-019042,Mark Tolentino,2026-03-15,680.00,Paid,Cash
SR2026-019043,Maria Santos,2026-03-15,1850.00,Paid,Cash
SR2026-019045,Maria Santos,2026-03-15,90.00,Paid,Cash
SR2026-019046,Daniel Cruz,2026-03-15,2975.00,Paid,Cash
SR2026-019047,Liza Fernandez,2026-03-15,500.00,Paid,Cash
SR2026-019049,Mark Tolentino,2026-03-15,100.00,Paid,Cash
SR2026-019050,Liza Fernandez,2026-03-15,990.00,Paid,Cash
SR2026-019051,Carlos Mendoza,2026-03-15,745.00,Paid,Cash
SR2026-019053,Sophia Navarro,2026-03-15,120.00,Paid,Cash
SR2026-019054,Sophia Navarro,2026-03-15,200.00,Paid,Cash
SR2026-019055,Ana Villanueva,2026-03-15,190.00,Paid,Cash
SR2026-019057,Carlos Mendoza,2026-03-15,2970.00,Paid,Cash
SR2026-019058,Pedro Reyes,2026-03-15,1800.00,Paid,Cash
SR2026-019059,Liza Fernandez,2026-03-15,275.00,Paid,Cash
SR2026-019061,Carlos Mendoza,2026-03-15,850.00,Paid,Cash
SR2026-019062,Isabella Ramos,2026-03-15,460.00,Paid,Cash
SR2026-019063,Isabella Ramos,2026-03-15,30.00,Paid,Cash
SR2026-019065,Pedro Reyes,2026-03-15,3380.00,Paid,Cash
